source,purpose,consumer_audit,reason,replacement,sha256,restore_commit
docs/plans/archive/2024-01-11-ingestion-service-refactor.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,f9ead17962483dd0e4c2c0e636e98f5ddfc59fed3bfd75224e26d167785394df,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2025-01-09-test-coverage-improvement.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,2cb90bf9b8c2e38ff601e53341003d9d969b2a1d52d4cc715b89d4553b8a9796,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2025-01-11-port-code-simplification.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,6778ca9eec4b4687f20ba3548f367761c93bbc72cf46cad3a094900ccd61ebb7,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2025-12-29-datahub-phase2-implementation.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,ffb1e76ddba81db61800ea357d55ebfff05e397901fd90f10b59e2365532d300,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2025-12-29-datahub-phase3-ingestion-enhancement.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,c03bbf37a9761f739be923674e355eb863c845a8141fbad8fdd9edba6d9c1a35,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2025-12-29-phase4-data-engine-server-enhancement.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,1cdc346fa480042e8045b871cab24d21e1e76b8b825f976b68eb0af373c04f98,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2025-12-30-dq-checkers-completion.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,f4ac89fbf3a6b1b5bcc50eb44e0fda6baa5b7c7803b8b51df74883f1e003efd5,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2025-12-30-ingestion-refactor.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,465b30ed097829e7070246febd82b462ad4f38b41fa50c80e0c5c2f6567360a3,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2026-01-03-test-refactor.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,5d09d0e88cd68c0246716b8e1b03d2346f03761c6948ada4b7d857e9f0f21d9e,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2026-01-04-ingestion-dq-fixes.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,8f51871e0aeb7006314d85e8724971b46471a1d8a1058d85f566befc41020b17,83dead1a2d57536db370c0c9f679b7e4c7333f42
docs/plans/archive/2026-01-04-legacy-code-cleanup.md,archived implementation plan,no incoming path or basename references from retained tracked text; executable consumer and directory scan reviewed,ordinary archived execution instructions; current delivery governed by GitHub Issues and current source,docs/engineering/development-workflow.md,a5260df987a50b5e6e422b5345580ec65e7ab8f489ef1bd1a183efaa5a3322e2,83dead1a2d57536db370c0c9f679b7e4c7333f42
